Video;Comment;Densidade semântica: ;Dificuldade:;Densidade semântica:;Dificuldade;Sadness;Joy;Fear;Disgust;Anger;Score;Label;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.youtube.com/watch?v=iFYWrDMfVNo;obrigado;Muito baixo;Fácil;Baixo;Fácil;0.0;0.525;0.0;0.0;0.0;0.525;POSITIVE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.youtube.com/watch?v=iFYWrDMfVNo;estou fazendo um curso e tudo que é apresentado no curso eu só entendo pesquisando no youTobas!;Muito baixo;Fácil;Baixo;Fácil;0.0;0.5208333333333334;0.0;0.0;0.0;0.5208333333333334;POSITIVE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.youtube.com/watch?v=iFYWrDMfVNo;Bom vídeo. Vc fala igual ao Ken humano kkk;Muito baixo;Fácil;Baixo;Fácil;0.0;0.6125;0.0;0.0;0.0;0.6125;POSITIVE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.youtube.com/watch?v=iFYWrDMfVNo;cara você explicou bem mais facil que meu professor de faculdade haha;Muito baixo;Fácil;Baixo;Fácil;0.0;1.0;0.0;0.0;0.0;1.0;POSITIVE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.youtube.com/watch?v=iFYWrDMfVNo;Muito bom vídeo aula muito intuitiva sem enrrolação !!;Muito baixo;Fácil;Baixo;Fácil;0.0;1.0;0.0;0.0;0.0;1.0;POSITIVE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.youtube.com/watch?v=iFYWrDMfVNo;Adorei;Muito baixo;Fácil;Baixo;Fácil;0.0;1.0;0.0;0.0;0.0;1.0;POSITIVE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.youtube.com/watch?v=iFYWrDMfVNo;vc explica muito bem;Muito baixo;Fácil;Baixo;Fácil;0.0;0.65625;0.0;0.0;0.0;0.65625;POSITIVE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.youtube.com/watch?v=iFYWrDMfVNo;Uma dúvida  como posso fazer uma repetição de strings utilizando o input com while? Cmg sempre da erro -(  obrigado pelo video!;Muito baixo;Fácil;Baixo;Fácil;0.0;0.625;0.0;0.0;0.0;0.625;POSITIVE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.youtube.com/watch?v=iFYWrDMfVNo;O amigo  gostei da sua explicação!;Muito baixo;Fácil;Baixo;Fácil;0.0;0.9375;0.0;0.0;0.0;0.9375;POSITIVE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.youtube.com/watch?v=iFYWrDMfVNo;Você ensinamuito bem... Se dependesse de alguns professores da Udemy ficaria BEM complicado.;Muito baixo;Fácil;Baixo;Fácil;1.0;0.0;0.525;0.525;0.525;-1.0;NEGATIVE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
